id	 activity	 block	 run	 trial	 encodingStrategy	 retentionInterval	 textItemSw	 textItemDe	 response	 correct	 rt
101	 Rest	 4	 2	 5	 Deep	 Immediate	 banguko	 Lawine	 banguko	 1	 8.669110
101	 Rest	 4	 2	 6	 Shallow	 Delayed	 mashtaka	 Vorwurf	 mashtaka	 1	 3.386890
101	 Rest	 4	 2	 7	 Shallow	 Immediate	 kiwiliwili	 Körper	 kiwiliwili	 1	 7.506927
101	 Rest	 4	 2	 8	 Shallow	 Immediate	 kilindo	 Übersicht	 kilindo	 1	 7.574311
101	 Rest	 4	 3	 1	 Shallow	 Immediate	 kilindo	 Übersicht	 kilindo	 1	 1.958599
101	 Rest	 4	 3	 2	 Deep	 Delayed	 kiwango	 Niveau	 kiwango	 1	 3.997833
101	 Rest	 4	 3	 3	 Deep	 Immediate	 banguko	 Lawine	 banguko	 1	 5.963982
101	 Rest	 4	 3	 4	 Shallow	 Delayed	 mashtaka	 Vorwurf	 mashtaka	 1	 2.523354
101	 Rest	 4	 3	 5	 Shallow	 Immediate	 kiwiliwili	 Körper	 kiwiliwili	 1	 2.631049
101	 Rest	 4	 3	 6	 Deep	 Delayed	 karatasi	 Papier	 karatasi	 1	 5.022299
101	 Rest	 4	 3	 7	 Deep	 Immediate	 maongozi	 System	 maongazi	 0	 11.883512
101	 Rest	 4	 3	 8	 Shallow	 Delayed	 maendeleo	 Entwicklung	 maendeleo	 1	 4.424065
